WEO_Country_Code,ISO,Country,WEO_Subject_Code,Subject_Descriptor,Subject_Notes,Units,Scale,Country_Series-Specific_Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates_Start_After
122,AUT,Austria,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.776,-4.338,1.003,0.389,-0.266,-0.23,0.21,-0.216,-0.181,0.186,0.699,0.035,-0.385,-0.532,-1.467,-2.86,-2.838,-2.546,-1.852,-2.261,-0.706,-0.796,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.724,1.374,0.905,2.385,3.442,1.646,-0.291,2.661,2.609,2023
912,AZE,Azerbaijan,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,-16.598,-12.199,-5.461,-13.165,-25.894,-21.214,-31.883,-13.09,-3.539,-0.945,-12.329,-27.772,-29.824,1.264,17.67,27.288,33.68,22.965,28.425,25.998,21.406,16.609,13.864,-0.42,-3.604,4.071,12.844,9.061,-0.533,15.124,29.792,11.512,6.147,2022
313,BHS,The Bahamas,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.585,-3.05,-2.151,-1.153,-1.33,-1.012,-0.764,-1.174,-1.37,-1.747,-0.77,-3.549,0.649,5.62,3.801,2.314,0.297,-5.358,-10.086,1.358,-1.515,-3.835,0.084,-0.173,1.606,-3.098,-10.141,-8.987,-8.282,-8.095,-7.884,-10.935,-14.289,-14.585,-19.98,-12.666,-12.539,-13.508,-9.506,-2.159,-22.941,-21.409,-9.051,-7.727,-7.93,2023
419,BHR,Bahrain,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",4.922,10.159,9.574,2.254,4.62,0.871,-1.974,-5.326,4.11,-3.962,1.349,-11.093,-14.57,-5.415,-3.814,3.357,3.54,-0.407,-10.675,-0.283,8.955,2.36,-0.556,1.702,3.461,8.868,11.346,12.835,8.42,2.342,2.877,8.437,8.065,7.125,4.38,-2.313,-4.406,-3.897,-6.153,-1.963,-9.054,6.372,14.65,5.858,5.252,2023
513,BGD,Bangladesh,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.817,-1.777,-2.734,-2.223,-1.908,-2.375,-2.241,-1.657,-2.385,-3.196,-2.687,-1.519,-0.545,-0.295,-0.489,-1.189,-1.719,-1.443,-0.948,-0.569,-0.546,-1.628,0.241,0.245,0.228,-0.7,0.665,1.003,0.253,1.699,2.346,-1.445,-0.28,1.329,0.679,1.23,1.607,-0.453,-2.977,-1.278,-1.454,-1.099,-3.954,-2.576,-1.442,2023
316,BRB,Barbados,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.595,-10.931,-3.451,-4.033,0.803,0.322,-0.998,-3.037,0.125,-0.128,-1.802,-1.129,7.213,3.233,6.287,2.479,3.52,-1.329,-2.807,-4.241,-3.376,-3.448,-4.809,-3.423,-9.628,-9.529,-9.394,-4.29,-8.528,-5.313,-4.059,-10.381,-7.47,-7.33,-8.067,-5.456,-3.86,-3.418,-3.578,-1.6,-4.902,-10.263,-9.89,-8.595,-6.419,2023
913,BLR,Belarus,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",,,,,,,,,,,,,1.733,-3.813,-2.829,-4.351,-3.56,-6.098,-6.681,-1.597,-4.257,-4.139,-2.158,-2.476,-4.981,1.468,-3.631,-6.435,-7.896,-12.059,-14.471,-8.233,-2.836,-10.023,-6.64,-3.251,-3.379,-1.74,0.038,-1.934,-0.291,3.163,3.455,-1.806,-1.961,2022
124,BEL,Belgium,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-3.999,-4.094,-2.898,-0.584,-0.067,0.799,2.622,1.926,2.277,2.255,1.817,2.319,2.914,5.144,5.28,5.339,4.954,5.471,5.12,7.764,3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.657,1.624,-1.94,-0.081,0.955,0.772,1.383,0.552,0.698,-0.914,0.098,1.413,1.309,-1.012,-0.97,-0.325,2023
339,BLZ,Belize,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.661,-2.025,-7.504,-5.072,-1.943,3.344,4.054,2.726,-0.638,-4.055,2.88,-4.46,-4.259,-6.678,-5.339,-2.166,-0.803,-3.777,-4.647,-6.521,-14.926,-16.857,-13.791,-14.541,-11.422,-10.599,-1.602,-3.066,-8.365,-4.927,-2.63,-1.097,-1.743,-3.59,-6.393,-7.962,-7.295,-6.972,-6.577,-7.736,-6.247,-6.511,-8.322,-0.646,-2.984,2022
638,BEN,Benin,BCA_NGDPD,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.672,-16.923,-20.877,-11.655,-3.66,-2.566,-2.725,-1.512,-4.468,-0.615,-0.677,-7.971,-2.369,-1.89,0.483,-5.631,-1.269,-4.966,-3.949,-4.232,-2.295,-2.045,-3.742,-6.206,-4.669,-3.444,-3.088,-6.546,-5.499,-6.69,-5.567,-4.833,-5.178,-5.379,-6.668,-5.964,-2.997,-4.181,-4.553,-4.0,-1.746,-4.154,-6.109,-5.901,-6.045,2021
